text,label
Вы выиграли 1 000 0000 рублей! Перейдите по ссылке,1
Получите кредит онлайн мгновенно!,1
Бесплатная консультация юриста по телефону,1
"Ваш аккаунт выиграл приз в лотерее, перейдите по ссылке",1
Купите брендовые часы со скидкой 50%,1
"Распродажа мебели, скидки до 70%!",1
"Заработайте миллион за неделю, начните прямо сейчас",1
Откройте своё дело всего за 1 рубль,1
Привет! Встречаемся сегодня?,0
Давай встретимся вечером в кафе?,0
"Напоминаю, завтра сдача проекта",0
"Позвони мне, пожалуйста, обсудим детали встречи",0
"Подготовил отчёт, посмотри, пожалуйста",0
Будешь на мероприятии в субботу?,0
Отправляю файл с презентацией,0
Пришли адрес доставки заказа,0
