text,label
"Отличный фильм, актеры играют прекрасно!",1
"Замечательный фильм, отличная игра актеров!",1
"Великолепный сценарий, держит в напряжении до конца!",1
"Потрясающая режиссура, кадры подобраны идеально!",1
"Фантастический саундтрек, музыка добавляет эмоций!",1
"Динамичный сюжет, невозможно оторваться ни на минуту!",1
"Настоящее произведение искусства, хочется пересмотреть снова!",1
"Талантливые актёры, каждая сцена наполнена смыслом!",1
"Скучный фильм, ничего интересного не произошло.",0
"Плохой фильм, глупый сюжет!",0
"Отвратительный сценарий, полная бессмыслица!",0
"Посредственная игра актёров, эмоции отсутствуют.",0
"Режиссура оставляет желать лучшего, сцены не связаны друг с другом.",0
"Саундтрек ужасный, мешает восприятию фильма.",0
"Сюжет предсказуем, никаких неожиданных поворотов.",0
"Фильм разочаровывает, потраченное время жалко.",0
